event,epc,item_name,sku,price,currency,timestamp
price_lookup,30000000001FE9,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:04:37.373021+00:00
price_lookup,30000000001FEA,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:04:37.373302+00:00
price_lookup,30000000001FEF,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:04:37.374615+00:00
price_lookup,30000000001FF0,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:04:37.374821+00:00
price_lookup,30000000001FF2,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:04:37.375221+00:00
price_lookup,30000000001FF3,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:04:37.375422+00:00
price_lookup,30000000001FF4,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:04:37.375644+00:00
price_lookup,30000000001FF6,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:04:37.376079+00:00
price_lookup,30000000001FF7,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:04:37.376319+00:00
price_lookup,30000000001FFC,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:04:37.377769+00:00
price_lookup,30000000001FFD,Backpack,BP-1123,79.99,USD,2025-10-06 03:04:37.378061+00:00
price_lookup,30000000002008,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:04:37.381151+00:00
price_lookup,3000000000200A,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:04:37.381961+00:00
price_lookup,30000000002012,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:04:37.384662+00:00
price_lookup,30000000002018,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:04:37.386370+00:00
price_lookup,3000000000201D,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:04:37.387325+00:00
price_lookup,3000000000201E,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:04:37.387507+00:00
price_lookup,3000000000201F,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:04:37.387691+00:00
price_lookup,30000000002021,Backpack,BP-1123,79.99,USD,2025-10-06 03:04:37.388054+00:00
price_lookup,30000000002027,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:04:37.389570+00:00
price_lookup,3000000000202F,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:04:37.391443+00:00
price_lookup,30000000002037,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:04:37.392889+00:00
price_lookup,30000000002039,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:04:37.393638+00:00
price_lookup,3000000000203A,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:04:37.393884+00:00
price_lookup,3000000000203C,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:04:37.394274+00:00
price_lookup,3000000000203F,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:04:37.394828+00:00
price_lookup,30000000002042,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:04:37.395372+00:00
price_lookup,30000000002043,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:04:37.395549+00:00
price_lookup,30000000002045,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:04:37.395919+00:00
price_lookup,30000000002046,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:04:37.396100+00:00
price_lookup,3000000000204A,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:04:37.397065+00:00
