event,epc,temperature,unit,timestamp
temperature_read,300000000012B9,-5.80,C,2025-10-06 03:01:55.713274+00:00
temperature_read,300000000012BD,21.30,C,2025-10-06 03:01:55.713993+00:00
temperature_read,300000000012BF,2.00,C,2025-10-06 03:01:55.714353+00:00
temperature_read,300000000012C2,-4.30,F,2025-10-06 03:01:55.714883+00:00
temperature_read,300000000012C4,-0.90,F,2025-10-06 03:01:55.715240+00:00
temperature_read,300000000012C6,27.80,F,2025-10-06 03:01:55.715612+00:00
temperature_read,300000000012C8,32.00,F,2025-10-06 03:01:55.715970+00:00
temperature_read,300000000012C9,-2.30,F,2025-10-06 03:01:55.716143+00:00
temperature_read,300000000012CA,32.70,C,2025-10-06 03:01:55.716318+00:00
temperature_read,300000000012CB,37.40,F,2025-10-06 03:01:55.716500+00:00
temperature_read,300000000012CC,0.00,C,2025-10-06 03:01:55.716674+00:00
temperature_read,300000000012CF,9.10,F,2025-10-06 03:01:55.717743+00:00
temperature_read,300000000012D5,14.30,F,2025-10-06 03:01:55.719804+00:00
temperature_read,300000000012D6,37.60,F,2025-10-06 03:01:55.720019+00:00
temperature_read,300000000012D7,8.10,F,2025-10-06 03:01:55.720229+00:00
temperature_read,300000000012D8,5.90,C,2025-10-06 03:01:55.720434+00:00
temperature_read,300000000012D9,2.70,F,2025-10-06 03:01:55.720629+00:00
temperature_read,300000000012DA,11.70,F,2025-10-06 03:01:55.720838+00:00
temperature_read,300000000012DB,31.30,C,2025-10-06 03:01:55.721079+00:00
temperature_read,300000000012DC,22.90,F,2025-10-06 03:01:55.721310+00:00
temperature_read,300000000012DD,31.30,C,2025-10-06 03:01:55.721560+00:00
temperature_read,300000000012DE,7.80,C,2025-10-06 03:01:55.721765+00:00
temperature_read,300000000012DF,4.20,C,2025-10-06 03:01:55.721964+00:00
temperature_read,300000000012E0,20.70,F,2025-10-06 03:01:55.722163+00:00
temperature_read,300000000012E3,36.70,C,2025-10-06 03:01:55.722770+00:00
temperature_read,300000000012E4,-7.50,F,2025-10-06 03:01:55.722964+00:00
temperature_read,300000000012E5,6.80,F,2025-10-06 03:01:55.723168+00:00
temperature_read,300000000012E7,20.60,F,2025-10-06 03:01:55.723571+00:00
temperature_read,300000000012E8,-7.70,C,2025-10-06 03:01:55.723774+00:00
temperature_read,300000000012E9,28.00,C,2025-10-06 03:01:55.723988+00:00
temperature_read,300000000012EA,3.20,C,2025-10-06 03:01:55.724189+00:00
temperature_read,300000000012EB,36.20,F,2025-10-06 03:01:55.724434+00:00
temperature_read,300000000012ED,38.80,F,2025-10-06 03:01:55.724951+00:00
temperature_read,300000000012EE,39.00,C,2025-10-06 03:01:55.725202+00:00
temperature_read,300000000012EF,19.30,C,2025-10-06 03:01:55.725435+00:00
temperature_read,300000000012F0,1.70,C,2025-10-06 03:01:55.725658+00:00
temperature_read,300000000012F3,3.60,C,2025-10-06 03:01:55.726338+00:00
temperature_read,300000000012F6,5.40,F,2025-10-06 03:01:55.726994+00:00
temperature_read,300000000012F7,10.00,C,2025-10-06 03:01:55.727207+00:00
temperature_read,300000000012F9,-0.60,C,2025-10-06 03:01:55.727647+00:00
temperature_read,300000000012FD,0.80,C,2025-10-06 03:01:55.728569+00:00
temperature_read,300000000012FE,29.20,C,2025-10-06 03:01:55.728777+00:00
temperature_read,300000000012FF,-1.80,C,2025-10-06 03:01:55.729051+00:00
temperature_read,30000000001300,8.60,C,2025-10-06 03:01:55.729268+00:00
temperature_read,30000000001301,34.90,C,2025-10-06 03:01:55.729471+00:00
temperature_read,30000000001302,35.70,F,2025-10-06 03:01:55.729683+00:00
temperature_read,30000000001303,28.70,C,2025-10-06 03:01:55.729889+00:00
temperature_read,30000000001304,13.10,C,2025-10-06 03:01:55.730087+00:00
temperature_read,30000000001307,-4.00,F,2025-10-06 03:01:55.730698+00:00
temperature_read,30000000001308,5.00,C,2025-10-06 03:01:55.730898+00:00
temperature_read,3000000000130B,15.50,C,2025-10-06 03:01:55.731518+00:00
temperature_read,3000000000130D,-5.90,C,2025-10-06 03:01:55.731928+00:00
temperature_read,3000000000130F,-1.20,F,2025-10-06 03:01:55.732585+00:00
temperature_read,30000000001310,23.10,F,2025-10-06 03:01:55.732913+00:00
temperature_read,30000000001312,20.30,C,2025-10-06 03:01:55.733515+00:00
temperature_read,30000000001313,23.20,F,2025-10-06 03:01:55.733735+00:00
temperature_read,30000000001314,33.60,C,2025-10-06 03:01:55.733938+00:00
temperature_read,30000000001315,32.30,F,2025-10-06 03:01:55.734138+00:00
temperature_read,30000000001316,31.40,F,2025-10-06 03:01:55.734347+00:00
temperature_read,30000000001318,18.60,F,2025-10-06 03:01:55.734818+00:00
temperature_read,30000000001319,12.10,C,2025-10-06 03:01:55.735044+00:00
temperature_read,3000000000131A,24.30,C,2025-10-06 03:01:55.735261+00:00
temperature_read,3000000000131B,19.90,C,2025-10-06 03:01:55.735469+00:00
temperature_read,3000000000131C,27.60,F,2025-10-06 03:01:55.735680+00:00
temperature_read,3000000000131D,17.60,C,2025-10-06 03:01:55.735880+00:00
temperature_read,3000000000131E,25.20,C,2025-10-06 03:01:55.736076+00:00
temperature_read,3000000000131F,28.30,F,2025-10-06 03:01:55.736270+00:00
temperature_read,30000000001320,29.00,C,2025-10-06 03:01:55.736502+00:00
temperature_read,30000000001322,37.10,C,2025-10-06 03:01:55.736944+00:00
temperature_read,30000000001323,3.10,F,2025-10-06 03:01:55.737212+00:00
temperature_read,30000000001324,34.90,F,2025-10-06 03:01:55.737434+00:00
temperature_read,30000000001325,31.10,F,2025-10-06 03:01:55.737639+00:00
temperature_read,30000000001326,14.00,C,2025-10-06 03:01:55.737838+00:00
temperature_read,30000000001327,2.60,C,2025-10-06 03:01:55.738048+00:00
temperature_read,30000000001329,5.00,C,2025-10-06 03:01:55.738573+00:00
temperature_read,3000000000132B,39.50,C,2025-10-06 03:01:55.738976+00:00
temperature_read,3000000000132C,-1.80,F,2025-10-06 03:01:55.739184+00:00
temperature_read,3000000000132D,28.90,F,2025-10-06 03:01:55.739385+00:00
temperature_read,3000000000132E,-0.70,C,2025-10-06 03:01:55.739584+00:00
temperature_read,3000000000132F,3.20,F,2025-10-06 03:01:55.739780+00:00
temperature_read,30000000001330,29.50,F,2025-10-06 03:01:55.739986+00:00
temperature_read,30000000001332,14.60,C,2025-10-06 03:01:55.740387+00:00
temperature_read,30000000001334,6.50,C,2025-10-06 03:01:55.740790+00:00
temperature_read,30000000001335,-0.70,C,2025-10-06 03:01:55.741135+00:00
temperature_read,30000000001337,9.60,C,2025-10-06 03:01:55.741724+00:00
temperature_read,30000000001339,16.50,C,2025-10-06 03:01:55.742147+00:00
temperature_read,3000000000133A,17.40,F,2025-10-06 03:01:55.742387+00:00
temperature_read,3000000000133B,-3.00,F,2025-10-06 03:01:55.742613+00:00
temperature_read,3000000000133C,22.90,C,2025-10-06 03:01:55.742822+00:00
temperature_read,3000000000133D,5.40,F,2025-10-06 03:01:55.743024+00:00
temperature_read,30000000001340,23.30,F,2025-10-06 03:01:55.743649+00:00
temperature_read,30000000001342,13.80,C,2025-10-06 03:01:55.744043+00:00
temperature_read,30000000001344,33.30,F,2025-10-06 03:01:55.744450+00:00
temperature_read,30000000001345,27.20,C,2025-10-06 03:01:55.744655+00:00
temperature_read,30000000001347,18.10,F,2025-10-06 03:01:55.745109+00:00
temperature_read,3000000000134A,19.60,C,2025-10-06 03:01:55.745788+00:00
temperature_read,3000000000134B,39.50,F,2025-10-06 03:01:55.745991+00:00
temperature_read,3000000000134C,28.40,C,2025-10-06 03:01:55.746187+00:00
temperature_read,30000000001351,4.00,C,2025-10-06 03:01:55.747182+00:00
temperature_read,30000000001352,20.40,F,2025-10-06 03:01:55.747406+00:00
temperature_read,30000000001353,33.50,F,2025-10-06 03:01:55.747611+00:00
temperature_read,30000000001354,32.30,C,2025-10-06 03:01:55.747805+00:00
temperature_read,30000000001355,-0.90,C,2025-10-06 03:01:55.748011+00:00
temperature_read,30000000001357,-8.70,C,2025-10-06 03:01:55.748410+00:00
temperature_read,30000000001359,17.50,C,2025-10-06 03:01:55.748819+00:00
temperature_read,3000000000135B,20.00,C,2025-10-06 03:01:55.749751+00:00
temperature_read,3000000000135C,9.60,C,2025-10-06 03:01:55.750017+00:00
temperature_read,3000000000135D,-4.50,F,2025-10-06 03:01:55.750328+00:00
temperature_read,3000000000135F,22.40,C,2025-10-06 03:01:55.750971+00:00
temperature_read,30000000001360,-2.00,F,2025-10-06 03:01:55.751188+00:00
temperature_read,30000000001361,14.00,C,2025-10-06 03:01:55.751400+00:00
temperature_read,30000000001364,3.60,C,2025-10-06 03:01:55.752028+00:00
temperature_read,30000000001365,17.20,C,2025-10-06 03:01:55.752230+00:00
temperature_read,30000000001366,22.80,F,2025-10-06 03:01:55.752441+00:00
temperature_read,30000000001367,18.10,F,2025-10-06 03:01:55.752635+00:00
temperature_read,30000000001368,22.30,F,2025-10-06 03:01:55.752841+00:00
temperature_read,30000000001369,28.80,F,2025-10-06 03:01:55.753190+00:00
temperature_read,3000000000136A,18.90,F,2025-10-06 03:01:55.753390+00:00
temperature_read,3000000000136B,17.10,F,2025-10-06 03:01:55.753592+00:00
temperature_read,3000000000136C,4.90,F,2025-10-06 03:01:55.753784+00:00
temperature_read,3000000000136D,-6.90,C,2025-10-06 03:01:55.753992+00:00
temperature_read,3000000000136E,30.90,F,2025-10-06 03:01:55.754194+00:00
temperature_read,3000000000136F,8.70,F,2025-10-06 03:01:55.754391+00:00
temperature_read,30000000001371,26.60,F,2025-10-06 03:01:55.754798+00:00
temperature_read,30000000001372,29.50,C,2025-10-06 03:01:55.755002+00:00
temperature_read,30000000001376,25.70,F,2025-10-06 03:01:55.755886+00:00
temperature_read,30000000001379,19.90,C,2025-10-06 03:01:55.756532+00:00
temperature_read,3000000000137B,33.00,F,2025-10-06 03:01:55.756960+00:00
temperature_read,3000000000137D,17.10,C,2025-10-06 03:01:55.757383+00:00
temperature_read,3000000000137E,11.20,F,2025-10-06 03:01:55.757593+00:00
